+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: ET
Variable Unit: MM/DAY
       Source: GLEAM
       Period: 1980-2011
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA      16777216.00      16777216.00      16777216.00      16777216.00      16777216.00      16777216.00      16777216.00      16777216.00      16777216.00      83886080.00
            Unit           mm/day           mm/day           mm/day           months                                                                                                      
       Benchmark             1.31          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel             1.46             0.15             0.37            -0.31             0.84             0.80             0.87             0.96             0.69             0.83
    HTESSEL-CaMa             1.58             0.27             0.48            -0.18             0.80             0.76             0.85             0.94             0.69             0.80
           JULES             1.44             0.12             0.40            -0.32             0.83             0.79             0.84             0.95             0.69             0.81
        LISFLOOD             1.32             0.01             0.43            -0.35             0.83             0.77             0.85             0.95             0.70             0.81
        ORCHIDEE             1.64             0.33             0.56            -0.39             0.77             0.72             0.78             0.93             0.66             0.76
      PCR-GLOBWB             1.40             0.09             0.48            -0.43             0.80             0.75             0.82             0.92             0.65             0.78
     SURFEX-TRIP             1.54             0.23             0.53             0.03             0.81             0.73             0.83             0.93             0.65             0.78
            SWBM             1.42             0.11             0.45            -0.10             0.83             0.77             0.86             0.95             0.66             0.81
            W3RA             1.42             0.11             0.58            -0.82             0.86             0.72             0.83             0.97             0.69             0.80
       WaterGAP3             1.44             0.12             0.68            -0.33             0.76             0.66             0.82             0.69             0.61             0.70
      HBV-SIMREG             1.45             0.14             0.48            -0.18             0.84             0.75             0.86             0.96             0.66             0.80
