+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: SNOWC
Variable Unit: SNOW/SNOW+LAND
       Source: IMS
       Period: 2004-2012
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA       4793172.00       4793172.00       4793172.00       4793172.00       4793172.00       4793172.00       4793172.00       4793172.00       4793172.00      23965860.00
            Unit   snow/snow+land   snow/snow+land   snow/snow+land           months                                                                                                      
       Benchmark             0.16          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel             0.14            -0.01             0.04             0.27             0.88             0.84             0.95             0.98             0.77             0.88
    HTESSEL-CaMa             0.14            -0.02             0.05             0.07             0.88             0.83             0.97             0.98             0.74             0.87
           JULES             0.16             0.00             0.05            -0.03             0.90             0.83             0.97             0.98             0.76             0.88
        LISFLOOD          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
        ORCHIDEE             0.13            -0.03             0.07             0.10             0.82             0.75             0.95             0.97             0.74             0.83
      PCR-GLOBWB          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
     SURFEX-TRIP             0.15            -0.01             0.04             0.02             0.90             0.84             0.98             0.99             0.77             0.89
            SWBM          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
            W3RA             0.13            -0.02             0.06             0.27             0.85             0.80             0.95             0.97             0.71             0.85
       WaterGAP3             0.15            -0.01             0.06            -0.07             0.84             0.80             0.98             0.96             0.73             0.85
      HBV-SIMREG          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
