+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: SWIA
Variable Unit: M3/M3
       Source: ESA-CCI
       Period: 1979-2012
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA      14296521.00      14296521.00      14296521.00      14296521.00      14296521.00      14296521.00      14296521.00      14296521.00      14296521.00      71482608.00
            Unit            m3/m3          std dev            m3/m3           months          std dev                                                                                     
       Benchmark             0.04          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel             0.02            -0.01             0.02            -0.19             0.63             0.41             0.72             0.80             0.54             0.58
    HTESSEL-CaMa             0.04             0.00             0.02            -0.28             0.74             0.38             0.71             0.75             0.63             0.60
           JULES             0.03            -0.01             0.02            -0.48             0.67             0.38             0.70             0.83             0.57             0.59
        LISFLOOD             0.04             0.00             0.02             0.28             0.72             0.39             0.70             0.74             0.57             0.58
        ORCHIDEE             0.03            -0.01             0.02            -0.36             0.62             0.37             0.66             0.71             0.58             0.55
      PCR-GLOBWB             0.04             0.00             0.02             0.12             0.69             0.40             0.71             0.62             0.57             0.56
     SURFEX-TRIP             0.02            -0.01             0.02            -0.66             0.65             0.38             0.71             0.76             0.58             0.58
            SWBM             0.01            -0.02             0.02            -0.05             0.48             0.39             0.70             0.26             0.47             0.45
            W3RA             0.02            -0.01             0.02            -0.36             0.62             0.43             0.73             0.79             0.50             0.58
       WaterGAP3             0.01            -0.02             0.02            -0.63             0.52             0.39             0.67             0.59             0.44             0.50
      HBV-SIMREG             0.02            -0.02             0.02            -0.05             0.58             0.42             0.74             0.72             0.48             0.56
