+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: ET
Variable Unit: MM/DAY
       Source: GLEAM+GLEAM-V3B+MODIS
       Period: 1980-2012
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA      29380972.00      29380972.00      29380972.00      29380972.00      29380972.00      29380972.00      29380972.00      29380972.00      29380972.00     146904864.00
            Unit           mm/day           mm/day           mm/day           months                                                                                                      
       Benchmark             1.29          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel             1.47             0.19             0.39            -0.15             0.84             0.80             0.83             0.95             0.67             0.81
    HTESSEL-CaMa             1.59             0.31             0.46            -0.15             0.81             0.77             0.80             0.95             0.65             0.79
           JULES             1.45             0.16             0.42            -0.25             0.82             0.78             0.80             0.92             0.68             0.80
        LISFLOOD             1.33             0.04             0.45            -0.29             0.82             0.76             0.81             0.93             0.68             0.80
        ORCHIDEE             1.65             0.36             0.53            -0.28             0.79             0.73             0.75             0.93             0.64             0.76
      PCR-GLOBWB             1.41             0.13             0.47            -0.41             0.80             0.76             0.79             0.93             0.65             0.78
     SURFEX-TRIP             1.55             0.26             0.50             0.12             0.82             0.74             0.80             0.95             0.59             0.77
            SWBM             1.43             0.14             0.50            -0.01             0.82             0.74             0.82             0.89             0.67             0.78
            W3RA             1.43             0.15             0.43            -0.03             0.85             0.78             0.83             0.95             0.65             0.81
       WaterGAP3             1.45             0.16             0.67            -0.35             0.76             0.66             0.80             0.73             0.57             0.70
      HBV-SIMREG             1.46             0.17             0.48            -0.07             0.83             0.75             0.81             0.93             0.62             0.78
