+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: ET
Variable Unit: MM/DAY
       Source: GLEAM+MODIS
       Period: 1980-2012
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA      24683572.00      24683572.00      24683572.00      24683572.00      24683572.00      24683572.00      24683572.00      24683572.00      24683572.00     123417856.00
            Unit           mm/day           mm/day           mm/day           months                                                                                                      
       Benchmark             1.29          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel             1.47             0.17             0.43            -0.27             0.83             0.78             0.83             0.94             0.67             0.81
    HTESSEL-CaMa             1.59             0.30             0.51            -0.17             0.80             0.75             0.82             0.94             0.65             0.78
           JULES             1.44             0.14             0.45            -0.24             0.81             0.77             0.81             0.92             0.67             0.79
        LISFLOOD             1.33             0.03             0.49            -0.33             0.81             0.75             0.82             0.93             0.68             0.79
        ORCHIDEE             1.65             0.35             0.57            -0.31             0.77             0.72             0.78             0.93             0.62             0.75
      PCR-GLOBWB             1.41             0.11             0.51            -0.35             0.79             0.75             0.79             0.93             0.64             0.77
     SURFEX-TRIP             1.54             0.25             0.55             0.05             0.81             0.73             0.82             0.94             0.58             0.77
            SWBM             1.42             0.13             0.53            -0.08             0.81             0.73             0.83             0.89             0.67             0.78
            W3RA             1.43             0.13             0.63            -0.75             0.84             0.70             0.77             0.94             0.63             0.77
       WaterGAP3             1.44             0.14             0.72            -0.44             0.75             0.65             0.79             0.71             0.57             0.69
      HBV-SIMREG             1.46             0.16             0.53            -0.19             0.82             0.73             0.81             0.93             0.62             0.77
