+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: ET
Variable Unit: MM/DAY
       Source: GLEAM-V3B
       Period: 2003-2012
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA       4697400.00       4697400.00       4697400.00       4697400.00       4697400.00       4697400.00       4697400.00       4697400.00       4697400.00      23487000.00
            Unit           mm/day           mm/day           mm/day           months                                                                                                      
       Benchmark             1.27          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel             1.48             0.21             0.30            -0.06             0.86             0.83             0.81             0.95             0.69             0.83
    HTESSEL-CaMa             1.60             0.33             0.36            -0.10             0.84             0.80             0.77             0.96             0.66             0.81
           JULES             1.45             0.18             0.35            -0.27             0.84             0.80             0.77             0.93             0.70             0.81
        LISFLOOD             1.33             0.06             0.37            -0.21             0.84             0.79             0.79             0.93             0.69             0.81
        ORCHIDEE             1.66             0.39             0.44            -0.22             0.81             0.76             0.70             0.94             0.67             0.77
      PCR-GLOBWB             1.42             0.15             0.39            -0.52             0.83             0.78             0.77             0.95             0.65             0.79
     SURFEX-TRIP             1.55             0.28             0.39             0.25             0.85             0.78             0.75             0.96             0.61             0.79
            SWBM             1.43             0.16             0.43             0.11             0.83             0.76             0.80             0.89             0.69             0.79
            W3RA             1.44             0.17             0.32             0.13             0.86             0.82             0.85             0.95             0.66             0.83
       WaterGAP3             1.45             0.18             0.58            -0.19             0.78             0.69             0.82             0.77             0.58             0.72
      HBV-SIMREG             1.47             0.20             0.39             0.16             0.84             0.78             0.81             0.94             0.64             0.80
