+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: SM
Variable Unit: M3/M3
       Source: ESA-CCI
       Period: 2002-2012
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA       5114101.00       5114101.00       5114101.00       5114101.00       5114101.00       5114101.00       5114101.00       5114101.00       5114101.00      25570504.00
            Unit            m3/m3            m3/m3            m3/m3           months                                                                                                      
       Benchmark             0.16          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel             0.20             0.04             0.03             0.03             0.87             0.82             0.73             0.92             0.63             0.80
    HTESSEL-CaMa             0.26             0.10             0.07            -0.14             0.71             0.68             0.71             0.63             0.63             0.67
           JULES             0.22             0.06             0.05            -0.18             0.80             0.77             0.72             0.84             0.64             0.76
        LISFLOOD             0.27             0.11             0.07             0.30             0.71             0.69             0.72             0.74             0.60             0.69
        ORCHIDEE             0.21             0.05             0.05             0.11             0.78             0.74             0.69             0.81             0.56             0.72
      PCR-GLOBWB             0.20             0.04             0.07             0.09             0.70             0.69             0.71             0.65             0.56             0.67
     SURFEX-TRIP             0.25             0.09             0.06            -0.12             0.76             0.74             0.71             0.86             0.63             0.74
            SWBM             0.12            -0.04             0.07             0.24             0.66             0.66             0.70             0.80             0.51             0.67
            W3RA             0.25             0.09             0.07            -0.25             0.72             0.70             0.73             0.74             0.57             0.69
       WaterGAP3             0.17             0.01             0.06            -0.34             0.75             0.72             0.70             0.73             0.49             0.69
      HBV-SIMREG             0.06            -0.10             0.12            -0.03             0.49             0.51             0.75             0.74             0.56             0.59
