+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: SMA
Variable Unit: M3/M3
       Source: ESA-CCI
       Period: 2002-2012
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA       5114101.00       5114101.00       5114101.00       5114101.00       5114101.00       5114101.00       5114101.00       5114101.00       5114101.00      25570504.00
            Unit            m3/m3          std-dev            m3/m3           months          std-dev                                                                                     
       Benchmark             0.03          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel             0.02            -0.01             0.02            -0.23             0.63             0.40             0.70             0.81             0.48             0.60
    HTESSEL-CaMa             0.04             0.00             0.02            -0.33             0.72             0.38             0.68             0.74             0.53             0.61
           JULES             0.02            -0.01             0.02            -0.47             0.67             0.38             0.67             0.84             0.50             0.61
        LISFLOOD             0.03             0.00             0.02             0.30             0.72             0.38             0.67             0.76             0.49             0.60
        ORCHIDEE             0.02            -0.01             0.03            -0.30             0.61             0.37             0.64             0.73             0.51             0.57
      PCR-GLOBWB             0.04             0.00             0.02             0.06             0.68             0.40             0.69             0.65             0.51             0.59
     SURFEX-TRIP             0.02            -0.01             0.02            -0.58             0.65             0.38             0.67             0.78             0.51             0.60
            SWBM             0.01            -0.02             0.02            -0.14             0.47             0.39             0.67             0.28             0.42             0.45
            W3RA             0.02            -0.01             0.02            -0.41             0.62             0.42             0.70             0.80             0.45             0.60
       WaterGAP3             0.01            -0.02             0.02            -0.61             0.52             0.39             0.64             0.57             0.41             0.51
      HBV-SIMREG             0.02            -0.01             0.02            -0.17             0.58             0.42             0.72             0.72             0.45             0.58
