+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: TWSA
Variable Unit: CM
       Source: GRACE
       Period: 2003-2012
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA       7400365.00       7400365.00       7400365.00       7400365.00       7400365.00       7400365.00       7400365.00       7400365.00       7400365.00      37001824.00
            Unit               cm          std-dev               cm           months          std-dev                                                                                     
       Benchmark             6.90          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel             5.73            -1.17             3.43            -0.43             0.63             0.47             0.83             0.62             0.58             0.63
    HTESSEL-CaMa             6.62            -0.28             3.55            -0.53             0.61             0.47             0.82             0.67             0.54             0.62
           JULES             5.14            -1.76             3.59            -0.59             0.62             0.47             0.81             0.51             0.55             0.59
        LISFLOOD             4.77            -2.13             4.04            -0.42             0.60             0.43             0.81             0.39             0.55             0.56
        ORCHIDEE             6.12            -0.78             3.98            -0.66             0.60             0.46             0.79             0.25             0.53             0.53
      PCR-GLOBWB             8.88             1.98             4.08             0.00             0.55             0.43             0.82             0.69             0.46             0.59
     SURFEX-TRIP             8.40             1.50             4.91            -0.49             0.59             0.41             0.82             0.60             0.54             0.59
            SWBM             7.58             0.68             4.82            -0.42             0.50             0.36             0.80             0.44             0.49             0.52
            W3RA             6.36            -0.54             3.97            -0.54             0.63             0.42             0.82             0.64             0.57             0.62
       WaterGAP3             2.81            -4.09             5.07            -0.86             0.49             0.40             0.75             0.53             0.46             0.53
      HBV-SIMREG             5.81            -1.09             4.19            -0.56             0.61             0.41             0.82             0.61             0.55             0.60
