+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: ET
Variable Unit: MM/DAY
       Source: MODIS
       Period: 2000-2012
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA       7906356.00       7906356.00       7906356.00       7906356.00       7906356.00       7906356.00       7906356.00       7906356.00       7906356.00      39531780.00
            Unit           mm/day           mm/day           mm/day           months                                                                                                      
       Benchmark             1.28          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel             1.48             0.20             0.49            -0.23             0.82             0.76             0.79             0.93             0.64             0.78
    HTESSEL-CaMa             1.60             0.32             0.54            -0.16             0.80             0.74             0.79             0.94             0.60             0.77
           JULES             1.45             0.17             0.51            -0.17             0.80             0.74             0.79             0.89             0.65             0.77
        LISFLOOD             1.33             0.05             0.55            -0.32             0.79             0.73             0.79             0.90             0.66             0.77
        ORCHIDEE             1.66             0.37             0.59            -0.23             0.78             0.72             0.78             0.92             0.59             0.75
      PCR-GLOBWB             1.42             0.14             0.54            -0.27             0.78             0.74             0.77             0.93             0.64             0.77
     SURFEX-TRIP             1.55             0.27             0.57             0.08             0.81             0.72             0.81             0.95             0.51             0.75
            SWBM             1.43             0.15             0.61            -0.05             0.79             0.70             0.80             0.83             0.67             0.75
            W3RA             1.44             0.16             0.68            -0.68             0.82             0.68             0.71             0.92             0.58             0.73
       WaterGAP3             1.45             0.17             0.76            -0.54             0.74             0.64             0.77             0.73             0.53             0.68
      HBV-SIMREG             1.47             0.18             0.58            -0.19             0.80             0.72             0.77             0.90             0.57             0.75
