+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: SWE
Variable Unit: KG/M2
       Source: GLOBSNOW
       Period: 1980-2012
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA       8731183.00       8731183.00       8731183.00       8731183.00       8731183.00       8731183.00       8731183.00       8731183.00       8731183.00      43655916.00
            Unit            kg/m2            kg/m2            kg/m2           months                                                                                                      
       Benchmark             9.30          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel            29.55            20.25             7.95             0.68             0.74             0.65             0.95             0.32             0.73             0.67
    HTESSEL-CaMa            49.92            40.62             7.25             0.52             0.73             0.67             0.95             0.06             0.73             0.64
           JULES            21.34            12.04             5.90             0.32             0.67             0.68             0.96             0.29             0.69             0.66
        LISFLOOD            21.08            11.78             9.29             0.90             0.70             0.57             0.92             0.79             0.73             0.71
        ORCHIDEE             6.90            -2.41             5.66            -0.19             0.62             0.66             0.97             0.86             0.66             0.74
      PCR-GLOBWB            52.95            43.65             9.80             0.90             0.72             0.60             0.92             0.03             0.72             0.60
     SURFEX-TRIP            27.15            17.85             6.46             0.53             0.73             0.68             0.95             0.26             0.73             0.67
            SWBM            26.47            17.17            13.75             0.88             0.58             0.42             0.93             0.56             0.75             0.61
            W3RA            17.86             8.55             6.35             0.75             0.75             0.67             0.94             0.26             0.74             0.67
       WaterGAP3            14.53             5.22             7.20             0.77             0.70             0.62             0.94             0.86             0.70             0.74
      HBV-SIMREG            57.31            48.01            22.83             1.02             0.55             0.41             0.91             0.03             0.57             0.48
