+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Variable Name: SWI
Variable Unit: M3/M3
       Source: ESA-CCI
       Period: 1979-2012
+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
      Model_Name       annualmean             bias             rmse            phase  globalbiasscore        rmsescore       phasescore      taylorscore interannualscore     overallscore
     No._of_DATA      14296521.00      14296521.00      14296521.00      14296521.00      14296521.00      14296521.00      14296521.00      14296521.00      14296521.00      71482608.00
            Unit            m3/m3            m3/m3            m3/m3           months                                                                                                      
       Benchmark             0.16          -999.00          -999.00             0.00          -999.00          -999.00          -999.00          -999.00          -999.00          -999.00
       MeanModel             0.20             0.04             0.03             0.12             0.87             0.83             0.75             0.92             0.62             0.80
    HTESSEL-CaMa             0.26             0.10             0.07            -0.03             0.71             0.69             0.74             0.64             0.67             0.69
           JULES             0.22             0.06             0.05            -0.09             0.80             0.77             0.74             0.84             0.64             0.76
        LISFLOOD             0.27             0.11             0.07             0.35             0.72             0.70             0.74             0.75             0.61             0.70
        ORCHIDEE             0.21             0.05             0.05             0.20             0.78             0.75             0.71             0.81             0.59             0.73
      PCR-GLOBWB             0.20             0.04             0.07             0.20             0.71             0.69             0.73             0.65             0.57             0.67
     SURFEX-TRIP             0.25             0.09             0.06            -0.03             0.77             0.74             0.73             0.85             0.64             0.74
            SWBM             0.12            -0.05             0.07             0.38             0.66             0.66             0.72             0.80             0.52             0.67
            W3RA             0.25             0.09             0.07            -0.12             0.72             0.71             0.75             0.74             0.59             0.70
       WaterGAP3             0.17             0.01             0.06            -0.29             0.75             0.73             0.72             0.73             0.47             0.69
      HBV-SIMREG             0.06            -0.10             0.12             0.04             0.49             0.51             0.76             0.74             0.53             0.59
